SampleID;Temp;COD_in;COD_eff;COD_removal;TAN_in;TAN_eff;TAN_removal;HRT;;;
OD47OT47.38;20.90;3545.00;70.00;0.98;50.58;0.01;1.00;3;;;
OD47OT47.42;20.50;NA;NA;NA;NA;NA;NA;3;;;
OD47OT47.67;20.40;NA;NA;NA;NA;NA;NA;3;;;
OD48OT48.38;20.70;NA;NA;NA;NA;NA;NA;3;;;
OD48OT48.67;20.80;NA;NA;NA;NA;NA;NA;3;;;
OD49OT49.38;20.90;NA;NA;NA;NA;NA;NA;3;;;
OD49OT49.58;20.90;NA;NA;NA;NA;NA;NA;3;;;
OD50OT50.35;21.40;1980.00;71.50;0.96;58.23;0.07;1.00;3;;;
OD50OT50.46;21.10;NA;NA;NA;NA;NA;NA;3;;;
OD50OT50.75;21.10;NA;NA;NA;NA;NA;NA;3;;;
OD53OT53.35;20.90;NA;NA;NA;NA;NA;NA;3;;;
OD53OT53.46;20.60;NA;NA;NA;NA;NA;NA;3;;;
OD53OT53.74;20.60;NA;NA;NA;NA;NA;NA;3;;;
OD54OT54.33;20.80;NA;NA;NA;NA;NA;NA;3;;;
OD54OT54.65;20.90;NA;NA;NA;NA;NA;NA;3;;;
OD55OT55.38;20.90;NA;NA;NA;NA;NA;NA;3;;;
OD55OT55.67;20.90;NA;NA;NA;NA;NA;NA;3;;;
OD56OT56.38;20.90;NA;NA;NA;NA;NA;NA;3;;;
OD56OT56.67;20.40;NA;NA;NA;NA;NA;NA;3;;;
OD57OT57.38;19.90;2320.00;123.00;0.95;109.23;0.00;1.00;3;;;
OD57OT57.46;19.70;NA;NA;NA;NA;NA;NA;3;;;
OD57OT57.77;19.50;NA;NA;NA;NA;NA;NA;3;;;
OD60OT60.38;18.70;NA;NA;NA;NA;NA;NA;3;;;
OD60OT60.58;18.60;NA;NA;NA;NA;NA;NA;2;;;
OD60OT60.71;18.60;NA;NA;NA;NA;NA;NA;2;;;
OD61OT61.42;19.20;NA;NA;NA;NA;NA;NA;2;;;
OD61OT61.67;19.30;NA;NA;NA;NA;NA;NA;2;;;
OD62OT62.35;19.50;2885.00;94.50;0.97;201.85;0.15;1.00;2;;;
OD62OT62.38;19.50;NA;NA;NA;NA;NA;NA;2;;;
OD62OT62.65;19.20;NA;NA;NA;NA;NA;NA;2;;;
OD63OT63.35;19.60;NA;NA;NA;NA;NA;NA;2;;;
OD63OT63.75;19.50;NA;NA;NA;NA;NA;NA;2;;;
OD64OT64.4;19.30;NA;NA;NA;NA;NA;NA;2;;;
OD64OT64.44;19.70;NA;NA;NA;NA;NA;NA;2;;;
OD64OT64.67;19.70;NA;NA;NA;NA;NA;NA;2;;;
OD67OT67.38;NA;2290.00;58.00;0.97;52.78;0.36;0.99;2;;;
OD67OT67.42;19.70;NA;NA;NA;NA;NA;NA;2;;;
OD67OT67.71;19.70;NA;NA;NA;NA;NA;NA;2;;;
OD68OT68.38;20.00;NA;NA;NA;NA;NA;NA;2;;;
OD68OT68.71;20.40;NA;NA;NA;NA;NA;NA;2;;;
OD69OT69.38;20.80;2155.00;36.00;0.98;54.10;0.30;0.99;2;;;
OD69OT69.46;20.80;NA;NA;NA;NA;NA;NA;2;;;
OD69OT69.71;20.40;NA;NA;NA;NA;NA;NA;2;;;
OD70OT70.4;20.20;NA;NA;NA;NA;NA;NA;2;;;
OD70OT70.63;20.20;NA;NA;NA;NA;NA;NA;2;;;
OD71OT71.38;20.30;NA;NA;NA;NA;NA;NA;2;;;
OD71OT71.5;20.00;NA;NA;NA;NA;NA;NA;2;;;
OD71OT71.69;19.70;NA;NA;NA;NA;NA;NA;2;;;
OD73OT73.42;NA;NA;NA;NA;NA;NA;NA;2;;;
OD73OT73.42;NA;NA;NA;NA;NA;NA;NA;2;;;
OD74OT74.38;20.00;NA;NA;NA;68.17;0.42;0.99;2;;;
OD74OT74.42;20.00;NA;NA;NA;NA;NA;NA;2;;;
OD74OT74.71;20.00;NA;NA;NA;NA;NA;NA;2;;;
OD75OT75.38;20.00;NA;NA;NA;NA;NA;NA;2;;;
OD75OT75.67;20.00;NA;NA;NA;NA;NA;NA;2;;;
OD76OT76.4;20.00;1545.00;80.00;0.95;50.13;0.35;0.99;2;;;
OD76OT76.42;20.00;NA;NA;NA;NA;NA;NA;2;;;
OD76OT76.69;20.00;NA;NA;NA;NA;NA;NA;2;;;
OD77OT77.4;20.00;NA;NA;NA;NA;NA;NA;2;;;
OD77OT77.69;20.00;NA;NA;NA;NA;NA;NA;2;;;
OD78OT78.36;20.00;NA;NA;NA;NA;NA;NA;2;;;
OD78OT78.42;20.00;NA;NA;NA;NA;NA;NA;2;;;
OD78OT78.67;20.00;NA;NA;NA;NA;NA;NA;2;;;
OD80OT80.49;NA;NA;NA;NA;NA;NA;NA;2;;;
OD80OT80.5;NA;NA;NA;NA;NA;NA;NA;2;;;
OD81OT81.35;20.60;NA;NA;NA;72.96;1.03;0.99;2;;;
OD81OT81.42;20.60;NA;NA;NA;NA;NA;NA;2;;;
OD81OT81.69;20.50;NA;NA;NA;NA;NA;NA;2;;;
OD82OT82.41;20.80;NA;NA;NA;NA;NA;NA;2;;;
OD82OT82.63;21.00;NA;NA;NA;NA;NA;NA;2;;;
OD83OT83.38;21.40;1410.00;43.00;0.97;42.36;0.23;0.99;2;;;
OD83OT83.4;21.40;NA;NA;NA;NA;NA;NA;2;;;
OD83OT83.63;21.70;NA;NA;NA;NA;NA;NA;2;;;
OD84OT84.41;21.60;NA;NA;NA;NA;NA;NA;2;;;
OD84OT84.69;21.90;NA;NA;NA;NA;NA;NA;2;;;
OD85OT85.35;22.00;NA;NA;NA;NA;NA;NA;2;;;
OD85OT85.52;22.10;NA;NA;NA;NA;NA;NA;2;;;
OD85OT85.71;22.10;NA;NA;NA;NA;NA;NA;2;;;
OD87OT87.38;NA;NA;NA;NA;NA;NA;NA;2;;;
OD87OT87.38;NA;NA;NA;NA;NA;NA;NA;2;;;
OD88OT88.38;21.30;NA;NA;NA;133.69;0.32;1.00;2;;;
OD88OT88.42;21.40;NA;NA;NA;NA;NA;NA;2;;;
OD88OT88.75;21.80;NA;NA;NA;NA;NA;NA;2;;;
OD89OT89.35;22.60;NA;NA;NA;NA;NA;NA;2;;;
OD89OT89.69;23.00;NA;NA;NA;NA;NA;NA;2;;;
OD90OT90.38;23.10;2080.00;65.50;0.97;45.83;0.38;0.99;2;;;
OD90OT90.42;23.10;NA;NA;NA;NA;NA;NA;2;;;
OD90OT90.67;23.20;NA;NA;NA;NA;NA;NA;2;;;
OD91OT91.4;23.20;NA;NA;NA;NA;NA;NA;2;;;
OD91OT91.68;23.20;NA;NA;NA;NA;NA;NA;2;;;
